"website","url","description","location","company","experience","worktype","industry","function","publish_date","insert_date"
linkedin,https://es.linkedin.com/jobs/view/operario-a-limpieza-discapacidad-zona-castell%C3%B3n-at-the-adecco-group-2540964708,"¿Tienes experiencia en el sector limpieza? ¿Buscas un trabajo a media jornada que te permita conciliar con tu vida personal? ¡Este puede ser tu puesto de trabajo! Una importante empresa del sector servicios está buscando personal de limpieza para varios centros de trabajo en la zona de Castellón.Las Funciones Que Se Realizarán Son Limpieza y desinfección de las áreas internas de las instalaciones o establecimientos con herramientas tradicionales o elementos electromecánicos de fácil manejo. Atender el cuidado de lavandería del centro.Se requiere Experiencia en limpieza de despachos, grandes superficies y domicilios. Estar en posesión de certificado de discapacidad superior al 33% emitido por el organismo público competente. Conocimientos en Lavandería y Mantenimiento Básico. Vehículo propio.Se Valorarán Las Siguientes Competencias Implicación, compromiso y calidad: Trabajar de forma constante, motivación para perseguir y lograr el bien común para la empresa, respetando a los demás y velando por el adecuado funcionamiento de los recursos humanos y/o materiales. Orientación a la calidad: Prestar atención a los detalles, ser meticuloso y revisar el trabajo realizado, con el fin de minimizar los errores y garantizar la buena calidad final del trabajo realizado. Trabajo en equipo: Trabajar con eficacia con otras personas, tanto compañeros como supervisores y subordinados, de manera coordinada y cooperativa con el fin de alcanzar objetivos individuales y colectivos.Se ofrece Jornada de 20 horas a la semana. Contrato inicial de 6 meses.- Posibilidad de incorporación a los centros localizados en Benicarló, Castellón, Cabanes y Moncófar. - Puesto de trabajo en Castellón de la Plana -","Castellón de la Plana/Castelló de la Plana, Comunidad Valenciana / Comunitat Valenciana, España",The Adecco Group,Sin experiencia,Jornada completa,"Marketing y publicidad,Dotación y selección de personal,Recursos humanos",Otro,2021-05-13 14:49:39,2021-05-13 15:00:00
linkedin,https://es.linkedin.com/jobs/view/mantenimiento-comunidades-m%C3%A1laga-sustituci%C3%B3n-at-the-adecco-group-2540970344,"¿Perteneces a algún colectivo con los que trabaja Fundación Adecco?¿Posees experiencia como persona de mantenimiento de comunidades?¿Tienes experiencia en cuidado de jardines y piscinas? ¿Tienes vehículo propio?Importante empresa dedicada a servicios de limpieza y mantenimiento se encuentra en búsqueda de una persona de mantenimiento para 1 comunidad en Málaga. En este caso el servicio sería para cubrir una sustitución.FuncionesMantenimiento general de las comunidades.Cuidados de jardines y piscinas.Limpieza básica de zonas comunes.Atención de cualquier incidencia.Se requiereRequisitosPertenecer a uno de los grupos con los que trabaja Fundación Adecco.Experiencia similar superior a 2 años.Conocimientos y experiencia en cuidados de jardines y piscinas.Residir en Málaga y/o alrededores.Persona con autonomía y resolutiva.Se ofreceSalario a determinar en entrevista.Jornada completa.Horario: Lunes a Viernes de 12.00 - 19:00 y fines de semana 5 horas (Sábado o Domingo, de forma rotativa). - Puesto de trabajo en Málaga -","Málaga, Andalucía, España",The Adecco Group,Sin experiencia,Jornada completa,"Marketing y publicidad,Dotación y selección de personal,Recursos humanos","Gestión,Manufactura",2021-05-13 14:49:48,2021-05-13 15:00:00
linkedin,https://es.linkedin.com/jobs/view/ingeniero-a-mecatr%C3%B3nico-para-ensayos-componente-autom%C3%B3vil-at-ctag-%E2%80%93-centro-tecnol%C3%B3gico-de-automoci%C3%B3n-de-galicia-2540968319,"El Centro Tecnológico de Automoción de Galicia (CTAG) necesita incorporar un/a Ingeniero/a esp. Electrónica/Automática o Mecatrónica a su división de Validación y Ensayos que dé soporte a los distintos laboratorios en las siguientes funciones:Recepción de solicitudes de cliente.Interpretación de requisitos (normativa, especificaciones de cliente,...).Selección de medios. Diseño de medios.Selección actuadores, sensores y sistema de control (cilindros, motores, captores de diferente tipo...)Programación: PLC, Robot, Labview.Seguimiento trabajos y reportes a cliente.Interpretación y explotación de resultados.Requisitos:-Ingeniero/a esp Electrónica/automática, Ing. Mecatrónica o similar.-Conocimientos básicos de robótica.-Conocimientos básicos de programación de PLC's.-Idiomas: Inglés, Francés","O Porriño, Galicia / Galiza, España",CTAG – Centro Tecnológico de Automoción de Galicia,Sin experiencia,Jornada completa,Sector automovilístico,Ingeniería,2021-05-13 14:49:54,2021-05-13 15:00:00
linkedin,https://es.linkedin.com/jobs/view/food-lab-operations-lead-they-she-he-at-glovo-2540968419,"About GlovoWe’re a Barcelona-based startup and the fastest-growing delivery player in Europe, Africa and Asia. With food at the core of the business, Glovo delivers any product within your city at any time of day.Our vision and ambition are not only to give everyone easy access to everything in their city, but it is also to offer our employees the job of their lives. A job where you'll be challenged and have the most fun working in through tech-enabled experiences.Your Work-life OpportunityIn order to maximize value for our partner restaurants and our customers, our Food Innovation team is innovating around new food concepts designed from scratch and optimized for delivery.Glovo is creating the next generation of food delivery brands. These brands are designed by Glovo using customer feedback to provide the best user experience to our customers. These brands are operated by our partners (restaurants working with Glovo) through a franchising model where we create the brand, take care of the marketing, take care of the supply chain and train their chefs so they just have to cook while we help them grow their top line!You will be responsible for managing our Food Lab where we are creating and testing those new generation delivery brands that will be scaled to more than 800 cities around the world. The successful candidate must be passionate and action-oriented professional with know-how of kitchen operations.Do you want to evolve into one of the fastest growing Start-ups of Barcelona, building a product that will change people's day-to-day and disrupt the on-demand market?Be a Part Of a Team Where You Will Hire and manage a team of talented chefs that will be responsible for operating our new developed food concepts while having the team engaged and with a good working environment. Supervise the maintenance of the working environment ensuring a high health and safety standards across our kitchen and our team of chefs. Be responsible for updating and owning our Lab P&L, assuring an optimal number of resources with the responsibility to keep our lab efficient and profitable. Be in charge of our lab operations to assure we are nailing every step of the process and give the best delivery experience our users can think of. Be responsible for the successful launching process of more than 15 new brands in the next 18 months with a very short time to market, assuring an unbeatable user experience from day one. You Have +5 years of experience in managing high daily volume restaurants or involved in the kitchen/food operations sector Hands-on attitude: you’ll have to roll up your sleeves! Ability to to prioritise and multitask, work well under pressure with aggressive deadlines and in a fast changing environment Experience in leading teams of at least 10 people having the necessary skills to keep them engaged and motivated Proactive, organized, and obsessed with details Comfortable on working with health and food safety best practices Out of the box thinker and high level of self-initiative (proactive in finding new solutions to new issues) Comfortable working with limited resources under tight deadlines Experience Our Glovo Life Benefits Enticing Phantom Shares plan Attractive Relocation package (if applicable ;)) Comprehensive Private Health Insurance Cobee discounts on kindergarten, transportation, and food Free monthly Glovo credits to spend on our restaurant products (and zero Glovo delivery fee on all Glovo orders!) Cool perks such as fresh fruit and healthy snacks every day, beers on Fridays, the Glovo Festival every quarter! Discounted Gym memberships Flexible working environment What You’ll Find When Working At Glovo Gas: We work hard with energy and passion for what we do. Care: We act in the best interest of a sustainable future. Good vibes: We always see the positive side in every situation and act with fairness and honesty with everyone. Stay Humble: We embrace mistakes and feedback to learn from them. Glownership: We roll up our sleeves and get work done no matter our position and level. If you believe you match these values, we look forward to meeting you!At Glovo we believe that diversity adds incredible value to our teams, our products, and our culture. We know that the best ideas and solutions come by bringing together people from all over the world and by fostering a culture of inclusion where everyone feels heard and has the chance to make a real impact. It's because of this that we are committed to providing equal opportunities to talent from all backgrounds.Wanna take a peek into what it's like to work at Glovo? Follow us on Instagram and like us on Facebook!Glovo is transforming the way consumers access local goods, enabling anyone to get almost any product delivered in minutes. Our on-demand logistics connect customers with independent local couriers who acquire goods from any restaurant or store in a city, as well as deliver urgent packages for a variable fee. As of 2020, we’re currently present in more than 22 countries across Europe, Latin America, Africa, and Asia.For additional information on Glovo, please visit https://about.glovoapp.com/","Barcelona, Cataluña, España",Glovo,Algo de responsabilidad,Jornada completa,"Marketing y publicidad,Software,Internet","Gestión,Manufactura",2021-05-13 14:58:55,2021-05-13 15:00:00
linkedin,https://es.linkedin.com/jobs/view/consultor-a-sap-retail-cliente-final-at-hays-2540967572,"¿Qué harás?• Definir necesidades en relación directa con los usuarios, tomar requisitos, definir casos de uso y proponer soluciones.• Desarrollar soluciones, basándose en la metodología RICEFW.• Programar y configurar SAP para resolver incidencias acordadas con los usuarios.• Probar los desarrollos, definir y ejecutar los planes de pruebas necesarios (unitarios, integración, regresión, UAT, demo) con el fin de validar los casos de uso, evitar cualquier incidencia y efectos colaterales en otros ámbitos de SAP.• Proporcionar soporte a los usuarios y asegurar la gestión del cambio en nuevos desarrollos. • Mantenimiento y desarrollo de los interfaces entre SAP y las demás aplicaciones integradas con el ERP.¿Qué esperamos de ti?• Que tengas experiencia en proyectos de implantación y mantenimientos.• Mínimo 4 años de experiencia como Consultor SAP Retail con S4Hana.• Conocimiento en programación ABAP. - Nivel avanzado en Office, especialmente en Excel.• Que seas una persona apasionada por los procesos productivos y motivada por dar el mejor servicio a los usuarios. - Iniciativa, proactividad y autonomia.Además, valoraremos si tienes:• Conocimientos en otros módulos MM y SD.• Conocimientos de operaciones de tienda y backend.¿Qué te ofrecemos?• Incorporación en un proyecto en crecimiento.• Contrato indefinido (6 meses periodo prueba). - Jornada completa.• Horario de oficina flexible (posibilidad de combinación con teletrabajo).• Salario negociable. - Beneficios sociales (descuento como trabajador, fruta en la oficina…).• Plan de formación y asistencia a eventos.","Barcelona, Cataluña, España",Hays,Intermedio,Jornada completa,Servicios y tecnologías de la información ,Tecnología de la información,2021-05-13 14:59:05,2021-05-13 15:00:00
linkedin,https://es.linkedin.com/jobs/view/responsable-contabilidad-sector-inmobiliario-marbella-at-adecco-2540964771,"¿Tienes experiencia realizando funciones de contabilidad? ¿Te gustaría incorporarte a una empresa en plena expansión?¡Ésta oferta puede interesarte!Nuestro cliente es un importante grupo de empresas del sector inmobiliario ubicada en Marbella. Ofrecemos un contrato indefinido y directamente con la empresa e incorporación inmediata.Requisitos-Experiencia contabilidad analítica y de costes.-Muy valorable haber trabajado con Primex.-Experiencia en grupos de empresas y gran volumen de facturación.ResponsabilidadesBajo la supervisión de dirección financiera, las responsabilidades del puesto son las siguientes:- Ejecución de la contabilidad general del grupo de empresas.- Análisis y gestión de los resultados contables.- Elaboración y presentación de impuestos.- Redacción de informes de tesorería.","Málaga, Andalucía, España",Adecco,Intermedio,Jornada completa,Bienes inmobiliarios,Contabilidad/Auditorías,2021-05-13 14:58:11,2021-05-13 15:00:00
linkedin,https://es.linkedin.com/jobs/view/t%C3%A9cnico-comercial-catalu%C3%B1a-instalaciones-y-mantenimiento-at-page-personnel-2533576240,"El Comercial se integrará en el equipo técnico comercial de la compañía, responsabilizándose de potenciar y desarrollar las relaciones comerciales de las actividades de Instalaciones/Desmontajes y de Mantenimiento, tanto en los sectores industrial como terciario, y realizando una venta consultiva, así como dando asesoramiento y apartando soluciones viables para la actividad de la clientelaDetalles del clienteGrupo empresarial dedicado a ofrecer servicios de ingeniería, desde la automatización hasta las nuevas instalaciones pasando por la ingeniería energética, la de procesos, la automatización, el mantenimiento o el desmontaje, encaminados al ahorro y optimización de los costes de sus clientes.Descripción de la ofertaProspección, desarrollo y apertura de nuevas cuentas, principalmente en mercado local, pero también a nivel nacional.Buscar oportunidades de negocio ofreciendo soluciones a medida del cliente, principalmente en Instalaciones y Mantenimiento.Identificar el/la interlocutor/a de referencia en la clientela objetivo, logrando reuniones comerciales para la presentación comercial y técnica de los servicios que presta la compañía. (Principalmente Dir. Mantenimiento, Planta, Operaciones o compras o técnico)Preparar la oferta comercial del proyecto, presentarla y defenderla ante el/la cliente/a.Negociar las propuestas comerciales y alcanzar el cierre de las ventas.Realizar un control y hacer seguimiento de las negociaciones de ofertas en curso.Consolidación de objetivos de venta en conjunto con la Dirección Comercial.Seguimiento y fidelización de clientes.Perfil del candidatoImprescindibles conocimientos en Instalaciones y Mantenimiento, tanto en Terciario (edificios de oficinas, hoteles, etc.) como en Industria (líneas de proceso continuo e instalaciones auxiliares y de SSGG). Experiencia previa en departamento comercial llevando a término estudios de presupuestos para instalaciones y licitaciones de mantenimiento    Se valorará Ingeniería Técnica, preferiblemente industrial  Valorable buen nivel de inglés  Oferta de empleoOportunidades de carrera y desarrollo profesionalDesired Skills and ExperienceImprescindibles conocimientos en Instalaciones y Mantenimiento, tanto en Terciario (edificios de oficinas, hoteles, etc.) como en Industria (líneas de proceso continuo e instalaciones auxiliares y de SSGG).Experiencia previa en departamento comercial llevando a término estudios de presupuestos para instalaciones y licitaciones de mantenimiento Se valorará Ingeniería Técnica, preferiblemente industrialValorable buen nivel de inglés","Barcelona, Cataluña, España",Page Personnel,Intermedio,Jornada completa,Automatización industrial,Ventas,2021-05-13 14:55:18,2021-05-13 15:00:00
linkedin,https://es.linkedin.com/jobs/view/business-analyst-at-aszendit-2540966699,"¡Estamos contratando! Como Business Analyst, el candidato seleccionado trabajará con el Data Warehouse, la organización de datos empresariales y los equipos de análisis integrados para permitir que las unidades de negocio tomen decisiones basadas en datos. Ofrecemos equipo muy joven, dinámico, competitivo y de alta capacitación, con proyectos de gran impacto en variedad de sectores. Requisitos: Nivel educativo: Ingeniero Superior / LicenciadoData Warehouse.Conocimiento de la familia de herramientas de Microsoft, como base de datos y Azure.Excepcionales habilidades de pensamiento analítico y conceptual.Análisis de datos y habilidades de documentación.Habilidades fundamentales de pensamiento analítico y conceptual.Experiencia creando informes detallados y dando presentaciones.Excelentes habilidades de planificación, organización y gestión del tiempo.Extraer y manipular información de las diferentes bases de datos.Desarrollar modelos analíticos avanzados para apoyar el proceso de toma de decisiones de la empresa.Escribir requisitos comerciales basados ​​en soluciones existentes y nuevos requisitos para los productos y procesos.Colaborar estrechamente con la gestión de productos para perfeccionar y definir funciones nuevas y existentes. Se valorará: Postgrado.Inglés. ¿Qué ofrecemos? Flexibilidad horaria.Salario según valía acorde a los conocimientos.Incorporación inmediata.Contrato indefinido","Madrid, Comunidad de Madrid, España",Aszendit,,Jornada completa,,,2021-05-13 14:54:27,2021-05-13 15:00:00
linkedin,https://es.linkedin.com/jobs/view/product-designer-internship-they-she-he-at-glovo-2540965809,"About GlovoWe’re a Barcelona-based startup and the fastest-growing delivery player in Europe, Hispanic America and Africa. With food at the core of the business, Glovo delivers any product within your city at any time of day.Our vision and ambition are not only to make everything immediately available in your city but it is also to offer our employees the job of their lives. A job where you'll be challenged and have the most fun working in through tech-enabled experiences.Your Work-life OpportunityHave you ever wondered what the Glovo Product Designer experience is like from the inside? Specifically, what it's like: To mix with a highly creative and engaging team of Designers and Researchers? To embed yourself into a fast-paced ecosystem built on fresh ideas, and driven by good vibes?  To contribute to changing the world of delivery, and impacting people’s daily lives by bringing everything they need right to their door? If you have, then this is your chance to experience it first hand! We are looking for enthusiastic and open minded people, with the same passion for product design that we have. As a member of a dynamic group, you will have the unrivaled and rewarding opportunity to ideate and contribute to our projects with us and other stakeholders - all while helping us grow our Design System and supporting our research studies.Mentored by one of our team members, our objective is to guide you and help you grow in-house - and hopefully, to see you become part of the family and a key piece of our success.How does that sound? :)Be a Part Of a Team Where You WillYou will be joining one of our teams as a Product Design Intern, collaborating directly with a more senior team member who will support you in your development.These internships are expected to commence in May-June 2021, with a duration of 6 months / 5 hours a day.Taking part in all of our different team sessions and dynamics, we expect you to find your way and catch up with the company’s reality, products, users and general workflow.The Main Areas Of Contribution, At First, Will Be Collaboration with our Design System initiatives General contribution to the team’s projects Support the research teams in their studies  The intention after the internship period comes to an end is to permanently join our team, if all expectations were met by both partiesYou HaveWe’re looking for people with the following traits: Ability to work in a team-based environment With a collaborative mindset, you thrive on feedback Self-motivating, self-aware and resourceful Driven by user-centric design and problem solving Have already acquired UX fundamentals Lean UX enthusiast Open-minded and eager to learn Flexibility and comfortable working in a quickly-changing environment Looking to grow in main technical design competencies: Information architecture, Prototyping, Multiplatform design, Interaction and general UI expectations Familiar with vector layout tools and collaboration: Figma, Miro, Adobe CC, etc Basic knowledge of UX Research functions and approaches to allow for support and collaboration  Humble and good vibes Education Coursing a degree, masters or design related course  Any other previous related experience will be taken into consideration Internship Requirements Good written and verbal communication in English Projects’ portfolio showing process, problem solving capabilities and familiarity with UX-UI practices Internship agreement with University Experience Our Glovo Life Benefits Free monthly Glovo credits to spend on our restaurant products (and zero Glovo delivery fee on all Glovo orders!) Cool perks such as fresh fruit and healthy snacks every day, beers on Fridays, Culture Days every 2 months! Flexible working environment Paid internship Spirit our office life and work from home policy What You’ll Find When Working At Glovo Gas: We work hard with energy and passion for what we do. Care: We act in the best interest of a sustainable future. Good vibes: We always see the positive side in every situation and act with fairness and honesty with everyone. Stay Humble: We embrace mistakes and feedback to learn from them. Glownership: We roll up our sleeves and get work done no matter our position and level. If you believe you match these values, we look forward to meeting you!At Glovo we believe that diversity adds incredible value to our teams, our products, and our culture. We know that the best ideas and solutions come by bringing together people from all over the world and by fostering a culture of inclusion where everyone feels heard and has the chance to make a real impact. It's because of this that we are committed to providing equal opportunities to talent from all backgrounds.Wanna take a peek into what it's like to work at Glovo? Follow us on Instagram and like us on Facebook!Glovo is transforming the way consumers access local goods, enabling anyone to get almost any product delivered in minutes. Our on-demand logistics connect customers with independent local couriers who acquire goods from any restaurant or store in a city, as well as deliver urgent packages for a variable fee. As of September 30, 2019, we’re currently present in more than 26 countries across Europe, Latin America, Africa, and Asia.For additional information on Glovo, please visit https://glovoapp.com/ | Twitter: @Glovo_ES | Facebook: https://www.facebook.com/glovoappES/ | LinkedIn: https://www.linkedin.com/company/glovo-app/","Barcelona, Cataluña, España",Glovo,Prácticas,Prácticas,"Marketing y publicidad,Software,Internet","Diseño,Arte/Creatividad,Tecnología de la información",2021-05-13 14:59:27,2021-05-13 15:00:00
linkedin,https://es.linkedin.com/jobs/view/director-comercial-log%C3%ADstica-at-way-sat-executive-search-2533540915,"Compañía nacional del sector logístico con buenas expectativas de crecimiento busca un director comercial con experiencia en el sector y con capacidad de asumir las funciones de director general.Misión del puesto:El director comercial de la compañía es la persona encargada de dirigir y coordinar las actividades relacionadas con el desarrollo de negocio y la representación de la compañía a nivel comercial en España.Funciones:Reportando a la dirección general de la compañía el candidato será responsable de las siguientes funciones: • Representar a la compañía ante los clientes y otros grupos de interés en España.• Gestión de la cartera de clientes actual de la compañía.• Liderar la política comercial de la compañía con el fin de mantener los clientes actuales y de aumentar la cartera.• Estudio de las necesidades de los clientes y desarrollo de acciones comerciales adaptadas a las necesidades detectadas.• Seguimiento del mercado y de las oportunidades de negocio nuevas.• Negociación y cierre de acuerdos comerciales.• Asegurar la calidad de las operaciones logísticas para cumplir con las expectativas de clientes y cumplimiento de acuerdos.• Desarrollo de los proyectos internos de implantación de procesos y procedimientos, definición de KPI´s, etc. necesarios para el buen funcionamiento comercial de la compañía.• Gestión, selección motivación y desarrollo del equipo a cargo.• Reportar a la dirección general y a la propiedad de la compañía sobre el desarrollo de su actividad.Formación académica:Formación en Gestión comercial y Marketing, ADE o titulación equivalente.Se valorará posgrado en gestión comercial.Experiencia y conocimientos requeridos:Experiencia mínima de 5 años como director comercial o delegado comercial en una compañía del sector logístico y con contacto diario con clientes. Experiencia en la gestión y cierre de acuerdos comerciales.Conocimientos profundos del sector del transporte y logística en España y con una visión de futuro dentro del sector.Conocimientos del funcionamiento de la operativa de una compañía del sector logístico y capacidad de asumir la dirección general en un futuro próximo.Competencias:Alta capacidad de negociación, proactivo y organizado, con rigor y flexibilidad, tener un fuerte sentido comercial, capacidad para el trabajo en equipo, con atención al detalle, líder de equipos, empático y con capacidad de establecer relaciones a largo plazo con clientes.","Sevilla, Andalucía, España",Way&Sat Executive Search,,Jornada completa,,,2021-05-13 14:53:36,2021-05-13 15:00:00
